   lon          lat            geox            geoy        i     j     g 
   195.15184    65.156265      -2854250.0       3638000.0     1     3     1 
   195.16621    65.150116      -2854250.0       3637000.0     1     2     2 
   195.18083    65.156166      -2853250.0       3637000.0     2     2     3 
   195.19545    65.162209      -2852250.0       3637000.0     3     2     4 
   195.20981    65.156059      -2852250.0       3636000.0     3     1     5 
   195.16644    65.162308      -2853250.0       3638000.0     2     3     6 
   195.18106    65.168358      -2852250.0       3638000.0     3     3     7 
   195.13745    65.162407      -2854250.0       3639000.0     1     4     8 
   195.15207    65.168457      -2853250.0       3639000.0     2     4     9 
   195.21007    65.168251      -2851250.0       3637000.0     4     2    10 
   195.19569    65.174400      -2851250.0       3638000.0     4     3    11 
   195.16669    65.174500      -2852250.0       3639000.0     3     4    12 
