   lon          lat            geox            geoy        i     j     g 
   194.02693    64.716942      -2929250.0       3641000.0     1     2     1 
   194.04118    64.723099      -2928250.0       3641000.0     2     2     2 
   194.05557    64.717010      -2928250.0       3640000.0     2     1     3 
   194.06981    64.723160      -2927250.0       3640000.0     3     1     4 
   194.05542    64.729248      -2927250.0       3641000.0     3     2     5 
   194.01254    64.723030      -2929250.0       3642000.0     1     3     6 
   194.02678    64.729187      -2928250.0       3642000.0     2     3     7 
   194.04103    64.735336      -2927250.0       3642000.0     3     3     8 
   194.06967    64.735405      -2926250.0       3641000.0     4     2     9 
   194.01237    64.735275      -2928250.0       3643000.0     2     4    10 
   194.05527    64.741493      -2926250.0       3642000.0     4     3    11 
   194.02663    64.741425      -2927250.0       3643000.0     3     4    12 
   194.04088    64.747581      -2926250.0       3643000.0     4     4    13 
   194.01222    64.747513      -2927250.0       3644000.0     3     5    14 
   194.06953    64.747643      -2925250.0       3642000.0     5     3    15 
   194.05513    64.753731      -2925250.0       3643000.0     5     4    16 
   194.02646    64.753670      -2926250.0       3644000.0     4     5    17 
