   lon          lat            geox            geoy        i     j     g 
   196.20932    64.863191       -462450.0       1689950.0     1     1     1 
   196.21141    64.863323       -462350.0       1689950.0     2     1     2 
   196.21349    64.863454       -462250.0       1689950.0     3     1     3 
   196.21558    64.863586       -462150.0       1689950.0     4     1     4 
   196.21767    64.863718       -462050.0       1689950.0     5     1     5 
   196.21975    64.863849       -461950.0       1689950.0     6     1     6 
   196.22184    64.863981       -461850.0       1689950.0     7     1     7 
   196.22393    64.864112       -461750.0       1689950.0     8     1     8 
   196.22601    64.864244       -461650.0       1689950.0     9     1     9 
   196.22810    64.864375       -461550.0       1689950.0    10     1    10 
   196.23019    64.864507       -461450.0       1689950.0    11     1    11 
   196.23227    64.864638       -461350.0       1689950.0    12     1    12 
   196.23436    64.864770       -461250.0       1689950.0    13     1    13 
   196.23645    64.864901       -461150.0       1689950.0    14     1    14 
   196.23854    64.865032       -461050.0       1689950.0    15     1    15 
   196.24062    64.865164       -460950.0       1689950.0    16     1    16 
   196.24271    64.865295       -460850.0       1689950.0    17     1    17 
   196.24480    64.865426       -460750.0       1689950.0    18     1    18 
   196.24688    64.865557       -460650.0       1689950.0    19     1    19 
   196.24897    64.865689       -460550.0       1689950.0    20     1    20 
   196.25106    64.865820       -460450.0       1689950.0    21     1    21 
   196.25314    64.865951       -460350.0       1689950.0    22     1    22 
   196.25523    64.866082       -460250.0       1689950.0    23     1    23 
   196.25732    64.866213       -460150.0       1689950.0    24     1    24 
   196.25941    64.866344       -460050.0       1689950.0    25     1    25 
   196.26149    64.866475       -459950.0       1689950.0    26     1    26 
   196.26358    64.866606       -459850.0       1689950.0    27     1    27 
   196.26567    64.866737       -459750.0       1689950.0    28     1    28 
   196.26775    64.866868       -459650.0       1689950.0    29     1    29 
   196.26984    64.866999       -459550.0       1689950.0    30     1    30 
   196.27193    64.867130       -459450.0       1689950.0    31     1    31 
   196.27401    64.867261       -459350.0       1689950.0    32     1    32 
   196.27610    64.867392       -459250.0       1689950.0    33     1    33 
   196.27819    64.867523       -459150.0       1689950.0    34     1    34 
   196.28028    64.867653       -459050.0       1689950.0    35     1    35 
   196.28236    64.867784       -458950.0       1689950.0    36     1    36 
   196.28445    64.867915       -458850.0       1689950.0    37     1    37 
   196.28654    64.868046       -458750.0       1689950.0    38     1    38 
   196.28863    64.868176       -458650.0       1689950.0    39     1    39 
   196.29071    64.868307       -458550.0       1689950.0    40     1    40 
   196.29280    64.868438       -458450.0       1689950.0    41     1    41 
   196.29489    64.868568       -458350.0       1689950.0    42     1    42 
   196.29698    64.868699       -458250.0       1689950.0    43     1    43 
   196.29906    64.868829       -458150.0       1689950.0    44     1    44 
   196.30115    64.868960       -458050.0       1689950.0    45     1    45 
   196.30324    64.869090       -457950.0       1689950.0    46     1    46 
   196.30532    64.869221       -457850.0       1689950.0    47     1    47 
   196.30741    64.869351       -457750.0       1689950.0    48     1    48 
   196.30950    64.869482       -457650.0       1689950.0    49     1    49 
   196.31159    64.869612       -457550.0       1689950.0    50     1    50 
   196.31368    64.869742       -457450.0       1689950.0    51     1    51 
   196.31576    64.869873       -457350.0       1689950.0    52     1    52 
   196.31785    64.870003       -457250.0       1689950.0    53     1    53 
   196.31994    64.870133       -457150.0       1689950.0    54     1    54 
   196.32203    64.870263       -457050.0       1689950.0    55     1    55 
   196.32411    64.870394       -456950.0       1689950.0    56     1    56 
   196.32620    64.870524       -456850.0       1689950.0    57     1    57 
   196.32829    64.870654       -456750.0       1689950.0    58     1    58 
   196.33038    64.870784       -456650.0       1689950.0    59     1    59 
   196.33246    64.870914       -456550.0       1689950.0    60     1    60 
   196.33455    64.871044       -456450.0       1689950.0    61     1    61 
   196.33664    64.871174       -456350.0       1689950.0    62     1    62 
   196.33873    64.871304       -456250.0       1689950.0    63     1    63 
   196.34081    64.871434       -456150.0       1689950.0    64     1    64 
   196.20963    64.862304       -462450.0       1689850.0     1     2    65 
   196.21172    64.862436       -462350.0       1689850.0     2     2    66 
   196.21380    64.862567       -462250.0       1689850.0     3     2    67 
   196.21589    64.862699       -462150.0       1689850.0     4     2    68 
   196.21798    64.862831       -462050.0       1689850.0     5     2    69 
   196.22006    64.862962       -461950.0       1689850.0     6     2    70 
   196.22215    64.863094       -461850.0       1689850.0     7     2    71 
   196.22424    64.863225       -461750.0       1689850.0     8     2    72 
   196.22632    64.863357       -461650.0       1689850.0     9     2    73 
   196.22841    64.863488       -461550.0       1689850.0    10     2    74 
   196.23050    64.863620       -461450.0       1689850.0    11     2    75 
   196.23258    64.863751       -461350.0       1689850.0    12     2    76 
   196.23467    64.863883       -461250.0       1689850.0    13     2    77 
   196.23676    64.864014       -461150.0       1689850.0    14     2    78 
   196.23884    64.864145       -461050.0       1689850.0    15     2    79 
   196.24093    64.864277       -460950.0       1689850.0    16     2    80 
   196.24302    64.864408       -460850.0       1689850.0    17     2    81 
   196.24510    64.864539       -460750.0       1689850.0    18     2    82 
   196.24719    64.864670       -460650.0       1689850.0    19     2    83 
   196.24928    64.864802       -460550.0       1689850.0    20     2    84 
   196.25137    64.864933       -460450.0       1689850.0    21     2    85 
   196.25345    64.865064       -460350.0       1689850.0    22     2    86 
   196.25554    64.865195       -460250.0       1689850.0    23     2    87 
   196.25763    64.865326       -460150.0       1689850.0    24     2    88 
   196.25971    64.865457       -460050.0       1689850.0    25     2    89 
   196.26180    64.865588       -459950.0       1689850.0    26     2    90 
   196.26389    64.865719       -459850.0       1689850.0    27     2    91 
   196.26597    64.865850       -459750.0       1689850.0    28     2    92 
   196.26806    64.865981       -459650.0       1689850.0    29     2    93 
   196.27015    64.866112       -459550.0       1689850.0    30     2    94 
