   lon          lat            geox            geoy        i     j     g 
   195.15312    65.153643       -506650.0       1729650.0     1     1     1 
   195.15523    65.153788       -506550.0       1729650.0     2     1     2 
   195.15733    65.153934       -506450.0       1729650.0     3     1     3 
   195.15943    65.154080       -506350.0       1729650.0     4     1     4 
   195.16154    65.154226       -506250.0       1729650.0     5     1     5 
   195.16364    65.154372       -506150.0       1729650.0     6     1     6 
   195.16574    65.154517       -506050.0       1729650.0     7     1     7 
   195.16785    65.154663       -505950.0       1729650.0     8     1     8 
   195.16995    65.154809       -505850.0       1729650.0     9     1     9 
   195.17205    65.154954       -505750.0       1729650.0    10     1    10 
   195.17416    65.155100       -505650.0       1729650.0    11     1    11 
   195.17626    65.155246       -505550.0       1729650.0    12     1    12 
   195.17836    65.155391       -505450.0       1729650.0    13     1    13 
   195.18047    65.155537       -505350.0       1729650.0    14     1    14 
   195.18257    65.155682       -505250.0       1729650.0    15     1    15 
   195.18467    65.155828       -505150.0       1729650.0    16     1    16 
   195.18678    65.155973       -505050.0       1729650.0    17     1    17 
   195.18888    65.156118       -504950.0       1729650.0    18     1    18 
   195.19098    65.156264       -504850.0       1729650.0    19     1    19 
   195.19309    65.156409       -504750.0       1729650.0    20     1    20 
   195.19519    65.156555       -504650.0       1729650.0    21     1    21 
   195.19729    65.156700       -504550.0       1729650.0    22     1    22 
   195.19940    65.156845       -504450.0       1729650.0    23     1    23 
   195.20150    65.156990       -504350.0       1729650.0    24     1    24 
   195.20360    65.157136       -504250.0       1729650.0    25     1    25 
   195.15278    65.154528       -506650.0       1729750.0     1     2    26 
   195.15488    65.154674       -506550.0       1729750.0     2     2    27 
   195.15698    65.154819       -506450.0       1729750.0     3     2    28 
   195.15909    65.154965       -506350.0       1729750.0     4     2    29 
   195.16119    65.155111       -506250.0       1729750.0     5     2    30 
   195.16329    65.155257       -506150.0       1729750.0     6     2    31 
   195.16540    65.155403       -506050.0       1729750.0     7     2    32 
   195.16750    65.155548       -505950.0       1729750.0     8     2    33 
   195.16960    65.155694       -505850.0       1729750.0     9     2    34 
   195.17171    65.155840       -505750.0       1729750.0    10     2    35 
   195.17381    65.155985       -505650.0       1729750.0    11     2    36 
   195.17591    65.156131       -505550.0       1729750.0    12     2    37 
   195.17802    65.156276       -505450.0       1729750.0    13     2    38 
