   lon          lat            geox            geoy        i     j     g 
   194.02535    64.720203       -567450.0       1691150.0     1     1     1 
   194.02742    64.720363       -567350.0       1691150.0     2     1     2 
   194.02948    64.720524       -567250.0       1691150.0     3     1     3 
   194.03155    64.720685       -567150.0       1691150.0     4     1     4 
   194.03361    64.720845       -567050.0       1691150.0     5     1     5 
   194.03568    64.721006       -566950.0       1691150.0     6     1     6 
   194.03774    64.721167       -566850.0       1691150.0     7     1     7 
   194.03981    64.721327       -566750.0       1691150.0     8     1     8 
   194.04187    64.721488       -566650.0       1691150.0     9     1     9 
   194.04394    64.721648       -566550.0       1691150.0    10     1    10 
   194.04600    64.721809       -566450.0       1691150.0    11     1    11 
   194.04807    64.721969       -566350.0       1691150.0    12     1    12 
   194.05013    64.722130       -566250.0       1691150.0    13     1    13 
   194.05220    64.722290       -566150.0       1691150.0    14     1    14 
   194.05426    64.722451       -566050.0       1691150.0    15     1    15 
   194.05633    64.722611       -565950.0       1691150.0    16     1    16 
   194.05839    64.722772       -565850.0       1691150.0    17     1    17 
   194.06046    64.722932       -565750.0       1691150.0    18     1    18 
   194.06252    64.723092       -565650.0       1691150.0    19     1    19 
   194.06459    64.723252       -565550.0       1691150.0    20     1    20 
   194.06665    64.723413       -565450.0       1691150.0    21     1    21 
   194.02498    64.721085       -567450.0       1691250.0     1     2    22 
   194.02704    64.721245       -567350.0       1691250.0     2     2    23 
   194.02911    64.721406       -567250.0       1691250.0     3     2    24 
   194.03117    64.721567       -567150.0       1691250.0     4     2    25 
   194.03323    64.721727       -567050.0       1691250.0     5     2    26 
   194.03530    64.721888       -566950.0       1691250.0     6     2    27 
   194.03736    64.722049       -566850.0       1691250.0     7     2    28 
   194.03943    64.722209       -566750.0       1691250.0     8     2    29 
   194.04149    64.722370       -566650.0       1691250.0     9     2    30 
   194.04356    64.722531       -566550.0       1691250.0    10     2    31 
   194.04563    64.722691       -566450.0       1691250.0    11     2    32 
   194.04769    64.722852       -566350.0       1691250.0    12     2    33 
   194.04976    64.723012       -566250.0       1691250.0    13     2    34 
   194.05182    64.723172       -566150.0       1691250.0    14     2    35 
   194.05389    64.723333       -566050.0       1691250.0    15     2    36 
   194.05595    64.723493       -565950.0       1691250.0    16     2    37 
   194.05802    64.723654       -565850.0       1691250.0    17     2    38 
   194.06008    64.723814       -565750.0       1691250.0    18     2    39 
   194.06215    64.723974       -565650.0       1691250.0    19     2    40 
   194.06421    64.724135       -565550.0       1691250.0    20     2    41 
   194.06628    64.724295       -565450.0       1691250.0    21     2    42 
   194.02460    64.721967       -567450.0       1691350.0     1     3    43 
   194.02666    64.722127       -567350.0       1691350.0     2     3    44 
   194.02873    64.722288       -567250.0       1691350.0     3     3    45 
   194.03079    64.722449       -567150.0       1691350.0     4     3    46 
   194.03286    64.722609       -567050.0       1691350.0     5     3    47 
   194.03492    64.722770       -566950.0       1691350.0     6     3    48 
   194.03699    64.722931       -566850.0       1691350.0     7     3    49 
   194.03905    64.723091       -566750.0       1691350.0     8     3    50 
   194.04112    64.723252       -566650.0       1691350.0     9     3    51 
   194.04318    64.723413       -566550.0       1691350.0    10     3    52 
   194.04525    64.723573       -566450.0       1691350.0    11     3    53 
   194.04731    64.723734       -566350.0       1691350.0    12     3    54 
   194.04938    64.723894       -566250.0       1691350.0    13     3    55 
   194.05144    64.724054       -566150.0       1691350.0    14     3    56 
   194.05351    64.724215       -566050.0       1691350.0    15     3    57 
   194.05558    64.724375       -565950.0       1691350.0    16     3    58 
   194.05764    64.724536       -565850.0       1691350.0    17     3    59 
   194.05971    64.724696       -565750.0       1691350.0    18     3    60 
   194.06177    64.724856       -565650.0       1691350.0    19     3    61 
   194.06384    64.725017       -565550.0       1691350.0    20     3    62 
   194.06590    64.725177       -565450.0       1691350.0    21     3    63 
   194.02422    64.722849       -567450.0       1691450.0     1     4    64 
   194.02629    64.723009       -567350.0       1691450.0     2     4    65 
   194.02835    64.723170       -567250.0       1691450.0     3     4    66 
   194.03042    64.723331       -567150.0       1691450.0     4     4    67 
   194.03248    64.723491       -567050.0       1691450.0     5     4    68 
   194.03455    64.723652       -566950.0       1691450.0     6     4    69 
   194.03661    64.723813       -566850.0       1691450.0     7     4    70 
   194.03868    64.723973       -566750.0       1691450.0     8     4    71 
   194.04074    64.724134       -566650.0       1691450.0     9     4    72 
   194.04281    64.724295       -566550.0       1691450.0    10     4    73 
   194.04487    64.724455       -566450.0       1691450.0    11     4    74 
   194.04694    64.724616       -566350.0       1691450.0    12     4    75 
   194.04900    64.724776       -566250.0       1691450.0    13     4    76 
   194.05107    64.724937       -566150.0       1691450.0    14     4    77 
   194.05313    64.725097       -566050.0       1691450.0    15     4    78 
   194.05520    64.725257       -565950.0       1691450.0    16     4    79 
   194.05727    64.725418       -565850.0       1691450.0    17     4    80 
   194.05933    64.725578       -565750.0       1691450.0    18     4    81 
   194.06140    64.725738       -565650.0       1691450.0    19     4    82 
   194.06346    64.725899       -565550.0       1691450.0    20     4    83 
   194.06553    64.726059       -565450.0       1691450.0    21     4    84 
   194.02385    64.723731       -567450.0       1691550.0     1     5    85 
   194.02591    64.723891       -567350.0       1691550.0     2     5    86 
   194.02798    64.724052       -567250.0       1691550.0     3     5    87 
   194.03004    64.724213       -567150.0       1691550.0     4     5    88 
   194.03211    64.724374       -567050.0       1691550.0     5     5    89 
   194.03417    64.724534       -566950.0       1691550.0     6     5    90 
   194.03624    64.724695       -566850.0       1691550.0     7     5    91 
   194.03830    64.724855       -566750.0       1691550.0     8     5    92 
   194.04037    64.725016       -566650.0       1691550.0     9     5    93 
   194.04243    64.725177       -566550.0       1691550.0    10     5    94 
   194.04450    64.725337       -566450.0       1691550.0    11     5    95 
   194.04656    64.725498       -566350.0       1691550.0    12     5    96 
   194.04863    64.725658       -566250.0       1691550.0    13     5    97 
   194.05069    64.725819       -566150.0       1691550.0    14     5    98 
   194.05276    64.725979       -566050.0       1691550.0    15     5    99 
   194.05482    64.726139       -565950.0       1691550.0    16     5   100 
   194.05689    64.726300       -565850.0       1691550.0    17     5   101 
   194.05896    64.726460       -565750.0       1691550.0    18     5   102 
   194.06102    64.726620       -565650.0       1691550.0    19     5   103 
   194.06309    64.726781       -565550.0       1691550.0    20     5   104 
   194.06515    64.726941       -565450.0       1691550.0    21     5   105 
   194.02347    64.724613       -567450.0       1691650.0     1     6   106 
   194.02553    64.724773       -567350.0       1691650.0     2     6   107 
   194.02760    64.724934       -567250.0       1691650.0     3     6   108 
   194.02966    64.725095       -567150.0       1691650.0     4     6   109 
   194.03173    64.725256       -567050.0       1691650.0     5     6   110 
   194.03380    64.725416       -566950.0       1691650.0     6     6   111 
   194.03586    64.725577       -566850.0       1691650.0     7     6   112 
   194.03793    64.725737       -566750.0       1691650.0     8     6   113 
   194.03999    64.725898       -566650.0       1691650.0     9     6   114 
